voltage,timestamp_utc,concentration
100.0,2026-03-12T09:37:39.481388Z,172.0
100.0,2026-03-12T09:37:40.485353Z,271.0
100.0,2026-03-12T09:37:41.490098Z,356.0
100.0,2026-03-12T09:37:42.555614Z,99.9
100.0,2026-03-12T09:37:43.646012Z,99.9
100.0,2026-03-12T09:37:44.655460Z,99.9
100.0,2026-03-12T09:37:45.659854Z,99.9
150.0,2026-03-12T09:37:46.768648Z,70.7
150.0,2026-03-12T09:37:47.772771Z,41.8
150.0,2026-03-12T09:37:48.777872Z,30.0
150.0,2026-03-12T09:37:49.787393Z,24.6
150.0,2026-03-12T09:37:50.803962Z,21.7
150.0,2026-03-12T09:37:51.870028Z,20.4
150.0,2026-03-12T09:37:52.882052Z,19.3
200.0,2026-03-12T09:37:53.974216Z,19.4
200.0,2026-03-12T09:37:54.982414Z,18.6
200.0,2026-03-12T09:37:55.985431Z,18.4
200.0,2026-03-12T09:37:57.094084Z,18.4
200.0,2026-03-12T09:37:58.103248Z,18.4
200.0,2026-03-12T09:37:59.107183Z,18.5
200.0,2026-03-12T09:38:00.111562Z,18.5
250.0,2026-03-12T09:38:01.292525Z,18.8
250.0,2026-03-12T09:38:02.340543Z,18.6
250.0,2026-03-12T09:38:03.350013Z,18.5
250.0,2026-03-12T09:38:04.361378Z,18.6
250.0,2026-03-12T09:38:05.373978Z,18.8
250.0,2026-03-12T09:38:06.380178Z,18.9
250.0,2026-03-12T09:38:07.485450Z,18.1
300.0,2026-03-12T09:38:08.584152Z,18.0
300.0,2026-03-12T09:38:09.608116Z,17.8
300.0,2026-03-12T09:38:10.619039Z,17.8
300.0,2026-03-12T09:38:11.638129Z,17.5
300.0,2026-03-12T09:38:12.692113Z,18.1
300.0,2026-03-12T09:38:13.704677Z,18.5
300.0,2026-03-12T09:38:14.714480Z,18.3
100.0,2026-03-12T09:38:15.721762Z,18.1
100.0,2026-03-12T09:38:16.837697Z,17.5
100.0,2026-03-12T09:38:17.870683Z,17.5
100.0,2026-03-12T09:38:18.876436Z,17.2
100.0,2026-03-12T09:38:19.879571Z,17.0
100.0,2026-03-12T09:38:21.018730Z,17.4
100.0,2026-03-12T09:38:22.227783Z,17.6
150.0,2026-03-12T09:38:23.233231Z,17.9
150.0,2026-03-12T09:38:24.325803Z,17.6
150.0,2026-03-12T09:38:25.336709Z,18.0
150.0,2026-03-12T09:38:26.356875Z,18.0
150.0,2026-03-12T09:38:27.364836Z,17.9
150.0,2026-03-12T09:38:28.378476Z,17.5
150.0,2026-03-12T09:38:29.447044Z,17.6
200.0,2026-03-12T09:38:30.545970Z,17.3
