repetition,voltage,timestamp_utc,concentration
1,100.0,2026-03-10T09:33:04.738899Z,4.12
1,100.0,2026-03-10T09:33:05.761530Z,4.51
1,100.0,2026-03-10T09:33:06.847694Z,4.55
1,100.0,2026-03-10T09:33:07.927342Z,4.39
1,100.0,2026-03-10T09:33:08.936311Z,4.49
1,100.0,2026-03-10T09:33:09.942170Z,4.16
1,100.0,2026-03-10T09:33:10.956405Z,3.81
1,142.70914972418177,2026-03-10T09:33:11.969090Z,2.95
1,142.70914972418177,2026-03-10T09:33:13.047569Z,2.4
1,142.70914972418177,2026-03-10T09:33:14.060983Z,1.97
1,142.70914972418177,2026-03-10T09:33:15.076844Z,1.19
1,142.70914972418177,2026-03-10T09:33:16.079781Z,1.01
1,142.70914972418177,2026-03-10T09:33:17.091536Z,1.12
1,142.70914972418177,2026-03-10T09:33:18.156933Z,1.11
1,203.65901414998953,2026-03-10T09:33:19.162055Z,1.08
1,203.65901414998953,2026-03-10T09:33:20.174914Z,1.09
1,203.65901414998953,2026-03-10T09:33:21.182685Z,1.11
1,203.65901414998953,2026-03-10T09:33:22.188920Z,1.13
1,203.65901414998953,2026-03-10T09:33:23.255796Z,1.24
1,203.65901414998953,2026-03-10T09:33:24.275339Z,1.43
