repetition,voltage,timestamp_utc,concentration
1,100.0,2026-03-10T09:30:58.086607Z,29.9
1,100.0,2026-03-10T09:30:59.093154Z,32.1
1,100.0,2026-03-10T09:31:00.101385Z,32.4
1,100.0,2026-03-10T09:31:01.110188Z,30.5
1,100.0,2026-03-10T09:31:02.317374Z,13.9
1,100.0,2026-03-10T09:31:03.376609Z,6.79
1,100.0,2026-03-10T09:31:04.397260Z,4.06
1,131.60740129524925,2026-03-10T09:31:05.404952Z,2.88
1,131.60740129524925,2026-03-10T09:31:06.470207Z,2.09
1,131.60740129524925,2026-03-10T09:31:07.479286Z,1.57
1,131.60740129524925,2026-03-10T09:31:08.548233Z,1.2
1,131.60740129524925,2026-03-10T09:31:09.564528Z,1.04
1,131.60740129524925,2026-03-10T09:31:10.582324Z,0.91
1,131.60740129524925,2026-03-10T09:31:11.610573Z,0.9
1,173.20508075688775,2026-03-10T09:31:12.627249Z,0.94
1,173.20508075688775,2026-03-10T09:31:13.744028Z,0.93
1,173.20508075688775,2026-03-10T09:31:14.819350Z,1.01
1,173.20508075688775,2026-03-10T09:31:15.891451Z,1.02
1,173.20508075688775,2026-03-10T09:31:16.966802Z,1.11
1,173.20508075688775,2026-03-10T09:31:17.980161Z,1.25
1,173.20508075688775,2026-03-10T09:31:19.042208Z,1.3
1,227.95070569547784,2026-03-10T09:31:20.047339Z,1.44
1,227.95070569547784,2026-03-10T09:31:21.073088Z,1.61
1,227.95070569547784,2026-03-10T09:31:22.086174Z,1.73
1,227.95070569547784,2026-03-10T09:31:23.098888Z,1.9
1,227.95070569547784,2026-03-10T09:31:24.169340Z,2.13
1,227.95070569547784,2026-03-10T09:31:25.185336Z,2.32
1,227.95070569547784,2026-03-10T09:31:26.196410Z,2.5
1,300.0000000000001,2026-03-10T09:31:27.212451Z,2.69
1,300.0000000000001,2026-03-10T09:31:28.242793Z,2.87
1,300.0000000000001,2026-03-10T09:31:29.314245Z,2.99
1,300.0000000000001,2026-03-10T09:31:30.334274Z,2.99
1,300.0000000000001,2026-03-10T09:31:31.345270Z,2.9
1,300.0000000000001,2026-03-10T09:31:32.362484Z,3.06
1,300.0000000000001,2026-03-10T09:31:33.373394Z,3.32
